Sentence,General,Affirmative,Structure
¿Acaso no todos los niños merecen educación?,NA,NA,0
Si hace sol, iremos a la playa,NA,NA,-1
Compré unos zapatos... pero,NA,NA,-2
Tal vez algunos políticos sean honestos,NA,NA,-4
Todas las galletas de esta caja están rotas,TRUE,TRUE,1
Algunos vuelos se retrasan por mal tiempo,FALSE,TRUE,2
Ningún reloj de arena mide horas,TRUE,FALSE,3
Algunas películas no tienen final feliz,FALSE,FALSE,4
Deberías llamar a tu madre más seguido,NA,NA,0
"Libros, muchos libros...",NA,NA,-2
Cuando el río suena, piedras lleva,NA,NA,-1
Los gatos son mejores que los perros,NA,NA,-3
Quizá ningún candidato sea ideal,NA,NA,-4
Todas las sociedades tienen normas culturales,TRUE,TRUE,1
Algunos mensajes llegan con retraso,FALSE,TRUE,2
Ningún alimento enlatado es fresco,TRUE,FALSE,3
Algunas apps no funcionan sin internet,FALSE,FALSE,4
¡Qué bonito día hace!,NA,NA,0
"Entre 10 y 15 personas...",NA,NA,-2
Si estudias, aprobarás el examen,NA,NA,-1
La mayoría de los jóvenes...,NA,NA,-3
Posiblemente algunos datos sean incorrectos,NA,NA,-4
Todos los ciudadanos tienen derechos fundamentales,TRUE,TRUE,1
Algunos atletas usan sustancias prohibidas,FALSE,TRUE,2
Ningún teléfono resiste 10 metros de agua,TRUE,FALSE,3
Algunas dietas no incluyen carbohidratos,FALSE,FALSE,4
¿Por qué todos me preguntan lo mismo?,NA,NA,0
Si corres bajo la lluvia, te resfriarás,NA,NA,-1
"El 78% de los usuarios...",NA,NA,-2
La gente suele decir que...,NA,NA,-3
Posiblemente algunos datos estén desactualizados,NA,NA,-4
Todas las sucursales abren a las 9am,TRUE,TRUE,1
Algunos museos tienen entrada gratuita,FALSE,TRUE,2
Ningún reptil puede regular su temperatura,TRUE,FALSE,3
Algunos medicamentos no requieren receta,FALSE,FALSE,4
¡Apaga el celular en el cine!,NA,NA,0
Cuando sube el dólar, todo se encarece,NA,NA,-1
"Aproximadamente 3 de cada 5...",NA,NA,-2
La mayoría de los conductores...,NA,NA,-3
Tal vez ningún candidato cumpla todas las promesas,NA,NA,-4
Todos los contratos llevan firma digital,TRUE,TRUE,1
Algunos virus afectan sólo a animales,FALSE,TRUE,2
Ningún refresco es realmente saludable,TRUE,FALSE,3
Algunas calles no tienen semáforos,FALSE,FALSE,4
¿Quién dijo que todos saben cocinar?,NA,NA,0
Si comes mucho, engordarás,NA,NA,-1
"Entre 15-20 minutos...",NA,NA,-2
Los jóvenes de hoy...,NA,NA,-3
Probablemente algunos empleados lleguen tarde,NA,NA,-4
Todas las facturas vencen el día 5,TRUE,TRUE,1
Algunos ríos tienen aguas termales,FALSE,TRUE,2
Ningún reloj analógico es preciso,TRUE,FALSE,3
Algunas tiendas no aceptan efectivo,FALSE,FALSE,4
No entiendo por qué...,NA,NA,0
Cuando hay niebla, vuelos se cancelan,NA,NA,-1
"Casi un tercio de los...",NA,NA,-2
La gente piensa que...,NA,NA,-3
Es posible que ningún resultado sea concluyente,NA,NA,-4
Todos los empleados tienen seguro médico,TRUE,TRUE,1
Algunos hongos son venenosos,FALSE,TRUE,2
Ningún producto light tiene cero calorías,TRUE,FALSE,3
Algunas películas no están en streaming,FALSE,FALSE,4
¿Cómo que todos saben usar Excel?,NA,NA,0
Si bebes, no manejes,NA,NA,-1
"Alrededor de 40 personas...",NA,NA,-2
Los políticos siempre...,NA,NA,-3
Quizás algunos documentos estén incompletos,NA,NA,-4
Todas las alarmas suenan a las 7am,TRUE,TRUE,1
Algunos edificios tienen certificado ecológico,FALSE,TRUE,2
Ningún dulce es bueno para los dientes,TRUE,FALSE,3
Algunas apps no funcionan en iOS,FALSE,FALSE,4
¡Qué difícil es esto!,NA,NA,0
Cuando nieva, las escuelas cierran,NA,NA,-1
"Un 60% aproximado...",NA,NA,-2
Las redes sociales...,NA,NA,-3
Posiblemente ninguna solución sea perfecta,NA,NA,-4
Todos los vuelos internacionales requieren pasaporte,TRUE,TRUE,1
Algunos juguetes contienen plomo,FALSE,TRUE,2
Ningún refresco dietético es natural,TRUE,FALSE,3
Algunos cursos no dan certificado,FALSE,FALSE,4
¿Dónde quedó eso de que todos somos iguales?,NA,NA,0
Si duermes poco, rindes menos,NA,NA,-1
"La mitad de los encuestados...",NA,NA,-2
Los adultos mayores...,NA,NA,-3
Tal vez algunos errores sean irreparables,NA,NA,-4
Todas las bicicletas tienen frenos,TRUE,TRUE,1
Algunos países no tienen ejército,FALSE,TRUE,2
Ningún chocolate comercial es puro,TRUE,FALSE,3
Algunas plantas no necesitan mucha luz,FALSE,FALSE,4
¡No me digas que todos lo saben!,NA,NA,0
Cuando hace calor, el consumo de energía sube,NA,NA,-1
"Un 70% del total...",NA,NA,-2
Los estudiantes universitarios...,NA,NA,-3
Es probable que ningún análisis sea definitivo,NA,NA,-4
Todos los medicamentos tienen efectos secundarios,TRUE,TRUE,1
Algunos lagos son artificiales,FALSE,TRUE,2
Ningún cigarrillo es inofensivo,TRUE,FALSE,3
Algunas tarjetas no tienen anualidad,FALSE,FALSE,4
¿Todos creen que esto es fácil?,NA,NA,0
Si ahorras, tendrás para emergencias,NA,NA,-1
"Cerca de 100 participantes...",NA,NA,-2
Los niños pequeños...,NA,NA,-3
Posiblemente algunos registros estén corruptos,NA,NA,-4
Todas las licencias deben renovarse,TRUE,TRUE,1
Algunos peces viven en agua dulce,FALSE,TRUE,2
Ningún postre es bajo en calorías,TRUE,FALSE,3
Algunas rutas no están pavimentadas,FALSE,FALSE,4
¡Pero si nadie me avisó!,NA,NA,0
Cuando sube el petróleo, la gasolina también,NA,NA,-1
"Aproximadamente dos horas...",NA,NA,-2
Los profesores de matemáticas...,NA,NA,-3
Quizá ninguna respuesta satisfaga a todos,NA,NA,-4
Todos los contratos tienen cláusulas,TRUE,TRUE,1
Algunos virus mutan rápidamente,FALSE,TRUE,2
Ningún juguete plástico es biodegradable,TRUE,FALSE,3
Algunas cuentas no generan intereses,FALSE,FALSE,4
¿Acaso todos nacieron sabiendo?,NA,NA,0
Si practicas, mejorarás,NA,NA,-1
"Un 85% de eficacia...",NA,NA,-2
Los conductores de camiones...,NA,NA,-3
Es posible que algunos datos sean inconsistentes,NA,NA,-4
Todos los mamíferos amamantan a sus crías,TRUE,TRUE,1
Algunos drones pueden cargar paquetes,FALSE,TRUE,2
Ningún alimento procesado es 100% natural,TRUE,FALSE,3
Algunas inversiones no generan retornos,FALSE,FALSE,4
"Según estudios recientes...",NA,NA,-2
Los gatos odian el agua... o eso dicen,NA,NA,-3
Si hubiera sabido, habría actuado distinto,NA,NA,-1
¡Ojalá todos entendieran esto!,NA,NA,0
Todas las constituciones democráticas protegen derechos,TRUE,TRUE,1
Algunos híbridos eléctricos tienen autonomía limitada,FALSE,TRUE,2
Ningún suplemento reemplaza una dieta balanceada,TRUE,FALSE,3
Algunos usuarios no leen los términos y condiciones,FALSE,FALSE,4
"El 95% de los casos...",NA,NA,-2
La gente cree que el dinero da felicidad,NA
Todos los felinos tienen columna vertebral,TRUE,TRUE,1
Algunos videojuegos mejoran habilidades cognitivas,FALSE,TRUE,2
Ningún producto con sellos de advertencia es saludable,TRUE,FALSE,3
Algunas startups no sobreviven los primeros 5 años,FALSE,FALSE,4
Todos los contratos legales requieren consentimiento,TRUE,TRUE,1
Algunos hongos alucinógenos son ilegales,FALSE,TRUE,2
Ningún metal precioso es barato,TRUE,FALSE,3
Algunas suscripciones no se renuevan automáticamente,FALSE,FALSE,4
Todos los órganos humanos tienen funciones específicas,TRUE,TRUE,1
Algunos influencers digitales ganan millones,FALSE,TRUE,2
Ningún producto milagro funciona como promete,TRUE,FALSE,3
Algunos medicamentos no deben mezclarse con alcohol,FALSE,FALSE,4
Todos los vehículos eléctricos requieren carga periódica,TRUE,TRUE,1
Algunos países nórdicos tienen educación gratuita,FALSE,TRUE,2
Ningún disco duro es indestructible,TRUE,FALSE,3
Algunas apps móviles no respetan la privacidad,FALSE,FALSE,4
Todos los certificados SSL encriptan datos,TRUE,TRUE,1
Algunos artistas independientes logran fama viral,FALSE,TRUE,2
Ningún alimento chatarra nutre adecuadamente,TRUE,FALSE,3
Algunos procesos legales no terminan en juicio,FALSE,FALSE,4
[...]  # 360 entradas clasificables adicionales (100 por tipo)
"Según la última encuesta...",NA,NA,-2
Los millennials prefieren experiencias sobre bienes,NA,NA,-3
Si hubiera más conciencia, cambiarían las cosas,NA,NA,-1
¿Realmente todos merecen segunda oportunidad?,NA,NA,0
"Entre 3-5 años es el plazo...",NA,NA,-2
La gente subestima el poder de los hábitos,NA,NA,-3
Cuando suben impuestos, disminuye el consumo,NA,NA,-1
¡Ojalá algunos entendieran la gravedad!,NA,NA,0
"Un 68% de efectividad...",NA,NA,-2
Los políticos rara vez cumplen promesas,NA,NA,-3
Si reduces carbohidratos, bajas de peso,NA,NA,-1
¿Acaso ninguno vio el error evidente?,NA,NA,0
Todos los vertebrados tienen esqueleto interno,TRUE,TRUE,1
Algunos lenguajes de programación son de bajo nivel,FALSE,TRUE,2
Ningún atajo en el aprendizaje es efectivo,TRUE,FALSE,3
Algunas teorías científicas no han sido comprobadas,FALSE,FALSE,4
Todos los elementos de la tabla periódica tienen símbolo único,TRUE,TRUE,1
Algunos algoritmos de IA pueden ser sesgados,FALSE,TRUE,2
Ningún sistema operativo es completamente seguro,TRUE,FALSE,3
Algunas ecuaciones matemáticas no tienen solución,FALSE,FALSE,4
Todos los países de la UE aceptan el euro,TRUE,TRUE,1
Algunos artistas usan inteligencia artificial para crear,FALSE,TRUE,2
Ningún proceso químico viola las leyes de la termodinámica,TRUE,FALSE,3
Algunos usuarios no actualizan sus dispositivos,FALSE,FALSE,4
Todos los contratos inteligentes se ejecutan automáticamente,TRUE,TRUE,1
Algunos NFTs han perdido todo su valor,FALSE,TRUE,2
Ningún ser humano puede respirar bajo el agua,TRUE,FALSE,3
Algunas criptomonedas no son minables,FALSE,FALSE,4
Todos los triángulos equiláteros tienen ángulos iguales,TRUE,TRUE,1
Algunos medicamentos causan efectos secundarios,FALSE,TRUE,2
Ningún alimento congelado sabe como fresco,TRUE,FALSE,3
Algunas leyes no se aplican uniformemente,FALSE,FALSE,4
Todos los mamíferos marinos necesitan salir a respirar,TRUE,TRUE,1
Algunos virus informáticos se propagan sin intervención humana,FALSE,TRUE,2
Ningún material conocido es perfectamente conductor,TRUE,FALSE,3
Algunas decisiones empresariales no tienen retorno inmediato,FALSE,FALSE,4
Todos los coches eléctricos usan baterías recargables,TRUE,TRUE,1
Algunos países han prohibido las bolsas de plástico,FALSE,TRUE,2
Ningún sistema educativo es perfecto,TRUE,FALSE,3
Algunas inversiones en tecnología no dan ganancias,FALSE,FALSE,4
Todos los seres vivos contienen carbono,TRUE,TRUE,1
Algunos satélites artificiales son visibles desde la Tierra,FALSE,TRUE,2
Ningún proceso industrial es 100% eficiente,TRUE,FALSE,3
Algunas personas no pueden digerir lactosa,FALSE,FALSE,4
Todos los compuestos orgánicos contienen carbono,TRUE,TRUE,1
Algunos descubrimientos científicos fueron accidentales,FALSE,TRUE,2
Ningún modelo económico satisface a todos,TRUE,FALSE,3
Algunas aplicaciones móviles no funcionan sin internet,FALSE,FALSE,4
Todos los planetas del sistema solar orbitan el sol,TRUE,TRUE,1
Algunos medicamentos requieren receta médica,FALSE,TRUE,2
Ningún ser humano puede sobrevivir sin agua,TRUE,FALSE,3
Algunas especies animales no han sido descubiertas,FALSE,FALSE,4
Todos los cuadrados son paralelogramos,TRUE,TRUE,1
Algunos dispositivos médicos salvan vidas,FALSE,TRUE,2
Ningún producto de belleza cumple todas sus promesas,TRUE,FALSE,3
Algunas decisiones políticas no benefician al pueblo,FALSE,FALSE,4
Todos los teléfonos inteligentes tienen GPS,TRUE,TRUE,1
Algunos países no tienen acceso al mar,FALSE,TRUE,2
Ningún método de enseñanza funciona para todos,TRUE,FALSE,3
Algunas innovaciones tecnológicas fueron rechazadas inicialmente,FALSE,FALSE,4
Todos los libros electrónicos requieren dispositivo de lectura,TRUE,TRUE,1
Algunos animales pueden regenerar extremidades,FALSE,TRUE,2
Ningún sistema de seguridad es infalible,TRUE,FALSE,3
Algunas predicciones económicas no se cumplen,FALSE,FALSE,4
Todos los seres humanos tienen huellas digitales únicas,TRUE,TRUE,1
Algunos virus mutan rápidamente,FALSE,TRUE,2
Ningún algoritmo de compresión es perfecto,TRUE,FALSE,3
Algunas tradiciones culturales se están perdiendo,FALSE,FALSE,4
Todos los motores de combustión generan emisiones,TRUE,TRUE,1
Algunos países han eliminado el efectivo,FALSE,TRUE,2
Ningún modelo climático predice con absoluta certeza,TRUE,FALSE,3
Algunas plantas medicinales no han sido estudiadas científicamente,FALSE,FALSE,4
Todos los dispositivos Bluetooth pueden emparejarse,TRUE,TRUE,1
Algunos artistas usan basura para crear arte,FALSE,TRUE,2
Ningún ser vivo es inmortal,TRUE,FALSE,3
Algunas teorías conspirativas no tienen base real,FALSE,FALSE,4
Todos los países miembros de la ONU tienen voto,TRUE,TRUE,1
Algunos medicamentos genéricos son igual de efectivos,FALSE,TRUE,2
Ningún sistema operativo está libre de errores,TRUE,FALSE,3
Algunas personas son alérgicas al agua,FALSE,FALSE,4
Todos los mamíferos producen leche,TRUE,TRUE,1
Algunos inventos cambiaron el curso de la historia,FALSE,TRUE,2
Ningún producto financiero carece de riesgo,TRUE,FALSE,3
Algunas culturas no tienen concepto de propiedad privada,FALSE,FALSE,4
Todos los compiladores traducen código fuente,TRUE,TRUE,1
Algunos microorganismos sobreviven en condiciones extremas,FALSE,TRUE,2
Ningún modelo atómico es perfectamente exacto,TRUE,FALSE,3
Algunas decisiones médicas no tienen consenso,FALSE,FALSE,4
Todos los vertebrados tienen sistema nervioso central,TRUE,TRUE,1
Algunos materiales superconductores funcionan a temperatura ambiente,FALSE,TRUE,2
Ningún sistema de recomendación es perfecto,TRUE,FALSE,3
Algunas especies se han extinguido por actividad humana,FALSE,FALSE,4
Todos los países tienen deuda externa,TRUE,TRUE,1
Algunos descubrimientos matemáticos tardaron siglos en probarse,FALSE,TRUE,2
Ningún proceso de fabricación es 100% ecológico,TRUE,FALSE,3
Algunas personas tienen memoria fotográfica,FALSE,FALSE,4
Todos los contratos tienen cláusulas obligatorias,TRUE,TRUE,1
Algunos animales usan herramientas,FALSE,TRUE,2
Ningún alimento procesado es más nutritivo que fresco,TRUE,FALSE,3
Algunas tecnologías fueron desarrolladas por accidente,FALSE,FALSE,4
Todos los dispositivos IoT se conectan a internet,TRUE,TRUE,1
Algunos países no tienen ejército permanente,FALSE,TRUE,2
Ningún sistema de votación es completamente justo,TRUE,FALSE,3
Algunas leyes físicas no aplican a escala cuántica,FALSE,FALSE,4
Todos los mamíferos terrestres tienen pulmones,TRUE,TRUE,1
Algunos virus pueden sobrevivir en el espacio,FALSE,TRUE,2
Ningún ser humano puede recordar cada detalle de su vida,TRUE,FALSE,3
Algunas innovaciones fueron rechazadas por la comunidad científica,FALSE,FALSE,4
Todos los metales son conductores de electricidad,TRUE,TRUE,1
Algunos países han legalizado la eutanasia,FALSE,TRUE,2
Ningún modelo económico previno todas las crisis,TRUE,FALSE,3
Algunas personas no sueñan en color,FALSE,FALSE,4
Todos los vertebrados tienen sangre,TRUE,TRUE,1
Algunos algoritmos pueden aprender por sí mismos,FALSE,TRUE,2
Ningún sistema de seguridad informática es impenetrable,TRUE,FALSE,3
Algunas culturas no tienen concepto de tiempo lineal,FALSE,FALSE,4
Todos los organismos vivos contienen ADN,TRUE,TRUE,1
Algunos materiales cambian propiedades con la temperatura,FALSE,TRUE,2
Ningún método de diagnóstico es infalible,TRUE,FALSE,3
Algunas especies animales pueden cambiar de sexo,FALSE,FALSE,4
Todos los países tienen fronteras definidas,TRUE,TRUE,1
Algunos científicos cuestionan teorías establecidas,FALSE,TRUE,2
Ningún producto de limpieza es completamente inocuo,TRUE,FALSE,3
Algunas personas no pueden reconocer rostros,FALSE,FALSE,4
Todos los mamíferos tienen pelo en algún momento de su vida,TRUE,TRUE,1
Algunos minerales son radiactivos,FALSE,TRUE,2
Ningún sistema político satisface a todos los ciudadanos,TRUE,FALSE,3
Algunas tribus no tienen contacto con la civilización,FALSE,FALSE,4
Todos los dispositivos electrónicos generan calor,TRUE,TRUE,1
Algunos países no tienen pena de muerte,FALSE,TRUE,2
Ningún modelo climático predice el clima local con precisión,TRUE,FALSE,3
Algunas personas nacen con órganos adicionales,FALSE,FALSE,4
Todos los compuestos iónicos forman cristales,TRUE,TRUE,1
Algunos animales pueden imitar el habla humana,FALSE,TRUE,2
Ningún sistema educativo prepara para todos los desafíos de la vida,TRUE,FALSE,3
Algunas culturas no tienen palabra para "guerra",FALSE,FALSE,4
Todos los seres vivos necesitan energía,TRUE,TRUE,1
Algunos virus pueden saltar entre especies,FALSE,TRUE,2
Ningún material de construcción es perfecto,TRUE,FALSE,3
Algunas decisiones judiciales crean precedentes controvertidos,FALSE,FALSE,4
Todos los mamíferos acuáticos deben salir a respirar,TRUE,TRUE,1
Algunos inventos fueron desarrollados simultáneamente en distintos lugares,FALSE,TRUE,2
Ningún sistema métrico es universalmente aceptado,TRUE,FALSE,3
Algunas personas no experimentan dolor físico,FALSE,FALSE,4
Todos los países tienen himno nacional,TRUE,TRUE,1
Algunos medicamentos pueden causar adicción,FALSE,TRUE,2
Ningún modelo de negocio garantiza el éxito,TRUE,FALSE,3
Algunas tribus no conocen el concepto de dinero,FALSE,FALSE,4
Todos los vertebrados tienen cráneo,TRUE,TRUE,1
Algunos materiales pueden cambiar de forma con estímulos eléctricos,FALSE,TRUE,2
Ningún test psicológico mide toda la personalidad,TRUE,FALSE,3
Algunas culturas consideran sagrados ciertos animales,FALSE,FALSE,4
Todos los dispositivos móviles tienen antena,TRUE,TRUE,1
Algunos países no tienen religión oficial,FALSE,TRUE,2
Ningún sistema de transporte es 100% puntual,TRUE,FALSE,3
Algunas personas tienen huesos más densos de lo normal,FALSE,FALSE,4
Todos los compuestos covalentes forman moléculas discretas,TRUE,TRUE,1
Algunos animales pueden regenerar órganos completos,FALSE,TRUE,2
Ningún método de enseñanza es efectivo para todos los estudiantes,TRUE,FALSE,3
Algunas lenguas no tienen palabras para números grandes,FALSE,FALSE,4
Todos los seres vivos responden a estímulos,TRUE,TRUE,1
Algunos virus pueden permanecer latentes por años,FALSE,TRUE,2
Ningún material de embalaje es completamente ecológico,TRUE,FALSE,3
Algunas decisiones corporativas afectan economías nacionales,FALSE,FALSE,4
Todos los mamíferos tienen tres huesos en el oído medio,TRUE,TRUE,1
Algunos fenómenos cuánticos desafían la intuición,FALSE,TRUE,2
Ningún sistema de salud es perfecto,TRUE,FALSE,3
Algunas tribus no tienen líderes formales,FALSE,FALSE,4
Todos los países tienen moneda oficial,TRUE,TRUE,1
Algunos medicamentos pueden alterar la percepción,FALSE,TRUE,2
Ningún modelo predictivo anticipó la pandemia,TRUE,FALSE,3
Algunas personas tienen visión tetracromática,FALSE,FALSE,4
Todos los vertebrados tienen sistema circulatorio,TRUE,TRUE,1
Algunos materiales pueden "recordar" su forma,FALSE,TRUE,2
Ningún test de inteligencia mide todas las capacidades cognitivas,TRUE,FALSE,3
Algunas culturas no tienen concepto de propiedad intelectual,FALSE,FALSE,4
Todos los dispositivos GPS requieren señal de satélite,TRUE,TRUE,1
Algunos países no tienen fuerzas armadas,FALSE,TRUE,2
Ningún sistema de pensiones es sostenible a largo plazo,TRUE,FALSE,3
Algunas personas pueden oír frecuencias inaudibles para la mayoría,FALSE,FALSE,4
Todos los compuestos aromáticos tienen anillos de carbono,TRUE,TRUE,1
Algunos animales pueden navegar usando el campo magnético terrestre,FALSE,TRUE,2
Ningún método de evaluación captura todo el aprendizaje,TRUE,FALSE,3
Algunas lenguas no distinguen entre pasado y futuro,FALSE,FALSE,4
Todos los seres vivos crecen y se desarrollan,TRUE,TRUE,1
Algunos virus pueden integrarse en el ADN humano,FALSE,TRUE,2
Ningún material de construcción es perfectamente aislante,TRUE,FALSE,3
Algunas decisiones políticas tienen consecuencias imprevistas,FALSE,FALSE,4
Todos los mamíferos tienen diafragma,TRUE,TRUE,1
Algunos descubrimientos científicos fueron ridiculizados inicialmente,FALSE,TRUE,2
Ningún sistema electoral es completamente representativo,TRUE,FALSE,3
Algunas tribus no tienen concepto de posesión individual,FALSE,FALSE,4
Todos los países tienen constitución,TRUE,TRUE,1
Algunos medicamentos pueden inducir estados alterados de conciencia,FALSE,TRUE,2
Ningún modelo económico explica completamente la realidad,TRUE,FALSE,3
Algunas personas no pueden formar recuerdos nuevos,FALSE,FALSE,4
Todos los vertebrados tienen sistema muscular,TRUE,TRUE,1
Algunos materiales pueden convertir calor directamente en electricidad,FALSE,TRUE,2
Ningún test de personalidad describe completamente a un individuo,TRUE,FALSE,3
Algunas culturas consideran la tierra como una entidad viva,FALSE,FALSE,4
Todos los dispositivos inalámbricos emiten radiación,TRUE,TRUE,1
Algunos países no tienen impuesto sobre la renta,FALSE,TRUE,2
Ningún sistema de justicia es completamente imparcial,TRUE,FALSE,3
Algunas personas tienen resistencia natural al VIH,FALSE,FALSE,4
Todos los compuestos organometálicos contienen carbono-metal,TRUE,TRUE,1
Algunos animales pueden predecir desastres naturales,FALSE,TRUE,2
Ningún método de enseñanza es universalmente aplicable,TRUE,FALSE,3
Algunas lenguas no tienen palabras para colores específicos,FALSE,FALSE,4
Todos los seres vivos se reproducen,TRUE,TRUE,1
Algunos virus pueden sobrevivir en condiciones extremas,FALSE,TRUE,2
Ningún material de empaque es completamente biodegradable,TRUE,FALSE,3
Algunas decisiones empresariales cambian industrias completas,FALSE,FALSE,4
Todos los mamíferos tienen glándulas sudoríparas,TRUE,TRUE,1
Algunos fenómenos astronómicos ocurren en ciclos predecibles,FALSE,TRUE,2
Ningún sistema político evita completamente la corrupción,TRUE,FALSE,3
Algunas tribus no tienen concepto de tiempo medido,FALSE,FALSE,4
Todos los países tienen bandera nacional,TRUE,TRUE,1
Algunos medicamentos pueden crear dependencia psicológica,FALSE,TRUE,2
Ningún modelo científico explica toda la realidad,TRUE,FALSE,3
Algunas personas pueden saborear sonidos,FALSE,FALSE,4
Todos los vertebrados tienen sistema esquelético,TRUE,TRUE,1
Algunos materiales pueden auto-repararse,FALSE,TRUE,2
Ningún test de aptitud mide todo el potencial,TRUE,FALSE,3
Algunas culturas no separan arte y artesanía,FALSE,FALSE,4
Todos los dispositivos RFID usan ondas de radio,TRUE,TRUE,1
Algunos países no tienen impuesto al valor agregado,FALSE,TRUE,2
Ningún sistema de bienestar social es autosostenible,TRUE,FALSE,3
Algunas personas pueden ver más colores que el promedio,FALSE,FALSE,4
Todos los compuestos de coordinación tienen metal central,TRUE,TRUE,1
Algunos animales pueden usar herramientas complejas,FALSE,TRUE,2
Ningún método de evaluación es perfectamente objetivo,TRUE,FALSE,3
Algunas lenguas no tienen alfabeto escrito,FALSE,FALSE,4
Todos los seres vivos adaptan a su ambiente,TRUE,TRUE,1
Algunos virus pueden saltar de animales a humanos,FALSE,TRUE,2
Ningún material de construcción es perfectamente ignífugo,TRUE,FALSE,3
Algunas decisiones legales establecen precedentes históricos,FALSE,FALSE,4
Todos los mamíferos tienen corazón de cuatro cámaras,TRUE,TRUE,1
Algunos descubrimientos médicos fueron accidentales,FALSE,TRUE,2
Ningún sistema de gobierno satisface a toda la población,TRUE,FALSE,3
Algunas tribus no tienen jerarquías sociales,FALSE,FALSE,4
Todos los países tienen sistema educativo,TRUE,TRUE,1
Algunos medicamentos pueden causar reacciones paradójicas,FALSE,TRUE,2
Ningún modelo financiero predice crisis con certeza,TRUE,FALSE,3
Algunas personas pueden recordar cada día de su vida,FALSE,FALSE,4
Todos los vertebrados tienen sistema nervioso,TRUE,TRUE,1
Algunos materiales pueden cambiar color con estímulos externos,FALSE,TRUE,2
Ningún test psicométrico es culturalmente neutral,TRUE,FALSE,3
Algunas culturas no distinguen entre sueño y realidad,FALSE,FALSE,4
Todos los dispositivos Bluetooth usan radiofrecuencia,TRUE,TRUE,1
Algunos países no tienen servicio militar obligatorio,FALSE,TRUE,2
Ningún sistema de transporte público es 100% eficiente,TRUE,FALSE,3
Algunas personas tienen huesos irrompibles,FALSE,FALSE,4
Todos los compuestos heterocíclicos contienen anillos con múltiples elementos,TRUE,TRUE,1
Algunos animales pueden aprender lenguaje simbólico,FALSE,TRUE,2
Ningún método pedagógico funciona para todos los alumnos,TRUE,FALSE,3
Algunas lenguas no tienen tiempos verbales,FALSE,FALSE,4
Todos los seres vivos están compuestos de células,TRUE,TRUE,1
Algunos virus pueden permanecer infecciosos por años,FALSE,TRUE,2
Ningún material de embalaje protege completamente su contenido,TRUE,FALSE,3
Algunas decisiones corporativas afectan el clima global,FALSE,FALSE,4
Todos los mamíferos tienen pelo al nacer,TRUE,TRUE,1
Algunos fenómenos cuánticos parecen violar la causalidad,FALSE,TRUE,2
Ningún sistema de salud es accesible para todos,TRUE,FALSE,3
Algunas tribus no tienen conceptos de izquierda/derecha,FALSE,FALSE,4
Todos los países tienen sistema judicial,TRUE,TRUE,1
Algunos medicamentos pueden alterar la personalidad temporalmente,FALSE,TRUE,2
Ningún modelo climático predice con absoluta precisión,TRUE,FALSE,3
Algunas personas pueden oír su propio flujo sanguíneo,FALSE,FALSE,4
Todos los vertebrados tienen columna vertebral,TRUE,TRUE,1
Algunos materiales pueden volverse superconductores bajo condiciones especiales,FALSE,TRUE,2
Ningún test de inteligencia es completamente objetivo,TRUE,FALSE,3
Algunas culturas consideran los números como entidades vivas,FALSE,FALSE,4
Todos los dispositivos Wi-Fi usan protocolos estándar,TRUE,TRUE,1
Algunos países no tienen impuesto a la herencia,FALSE,TRUE,2
Ningún sistema de pensiones es perfectamente justo,TRUE,FALSE,3
Algunas personas pueden ver en la oscuridad mejor que los gatos,FALSE,FALSE,4
Todos los compuestos de inserción tienen átomos huésped y anfitrión,TRUE,TRUE,1
Algunos animales pueden contar,FALSE,TRUE,2
Ningún método de enseñanza es perfectamente inclusivo,TRUE,FALSE,3
Algunas lenguas no tienen palabras para direcciones cardinales,FALSE,FALSE,4
Todos los seres vivos metabolizan nutrientes,TRUE,TRUE,1
Algunos virus pueden evadir el sistema inmunológico,FALSE,TRUE,2
Ningún material de construcción es perfectamente flexible,TRUE,FALSE,3
Algunas decisiones políticas dividen a las naciones,FALSE,FALSE,4
Todos los mamíferos tienen glándulas mamarias,TRUE,TRUE,1
Algunos descubrimientos científicos fueron rechazados por décadas,FALSE,TRUE,2
Ningún sistema electoral es completamente equitativo,TRUE,FALSE,3
Algunas tribus no tienen concepto de propiedad de la tierra,FALSE,FALSE,4
Todos los países tienen sistema monetario,TRUE,TRUE,1
Algunos medicamentos pueden inducir sueños lúcidos,FALSE,TRUE,2
Ningún modelo económico prevé todas las variables,TRUE,FALSE,3
Algunas personas pueden sentir el campo magnético terrestre,FALSE,FALSE,4
Todos los vertebrados tienen cráneo protector,TRUE,TRUE,1
Algunos materiales pueden almacenar energía indefinidamente,FALSE,TRUE,2
Ningún test psicológico predice completamente el comportamiento,TRUE,FALSE,3
Algunas culturas no separan lo sagrado de lo profano,FALSE,FALSE,4
Todos los dispositivos NFC operan a corta distancia,TRUE,TRUE,1
Algunos países no tienen impuesto sobre propiedades,FALSE,TRUE,2
Ningún sistema de transporte es completamente accesible,TRUE,FALSE,3
Algunas personas pueden regenerar tejidos como salamandras,FALSE,FALSE,4
Todos los compuestos organofosforados contienen fósforo-carbono,TRUE,TRUE,1
Algunos animales pueden reconocerse en espejos,FALSE,TRUE,2
Ningún método educativo satisface todas las filosofías pedagógicas,TRUE,FALSE,3
Algunas lenguas no tienen palabras para "yo" o "tú",FALSE,FALSE,4
Todos los seres vivos responden al ambiente,TRUE,TRUE,1
